Date;Level;Message
"2026-03-20 15:19:02";NOTICE;"Plugin activated: nitropack/main.php"
"2026-03-20 15:20:06";NOTICE;"Plugin deactivated: nitropack/main.php"
"2026-03-20 15:23:36";NOTICE;"[CLI] Plugin activated: nitropack/main.php"
"2026-03-20 15:23:48";NOTICE;"[CLI] Verifying connection to NitroPack API"
"2026-03-20 15:23:55";NOTICE;"[CLI] NitroPack connected"
"2026-03-20 15:25:40";NOTICE;"Optimized CPTs: home, archive, post, page, attachment, category, post_tag, post_format, coupon"
"2026-03-20 15:25:40";NOTICE;"Non-optimized CPTs: N/A"
"2026-03-20 15:26:16";NOTICE;"[Preview] Optimization mode set to: strong"
"2026-03-20 15:26:52";NOTICE;"Optimized CPTs: home, archive, post, category, post_tag, post_format, page, attachment, coupon, category, post_tag"
"2026-03-20 15:26:52";NOTICE;"Non-optimized CPTs: N/A"
"2026-03-20 17:32:18";NOTICE;"Plugin activated: wpforms-lite/wpforms.php"
"2026-03-20 17:42:10";NOTICE;"Post updated: 915"
"2026-03-20 17:46:30";NOTICE;"Plugin deactivated: nitropack/main.php"
"2026-03-20 17:46:36";NOTICE;"Plugin activated: nitropack/main.php"
"2026-03-20 18:07:41";NOTICE;"Plugin deactivated: nitropack/main.php"
"2026-03-20 18:08:20";NOTICE;"Plugin activated: nitropack/main.php"
"2026-03-20 18:13:10";NOTICE;"Plugin deactivated: wpforms-lite/wpforms.php"
"2026-03-20 18:15:17";NOTICE;"Post updated: 915"
"2026-03-20 18:18:07";NOTICE;"Post updated: 915"
"2026-03-20 18:18:08";NOTICE;"Post updated: 915"
"2026-03-20 18:20:30";NOTICE;"Post updated: 915"
"2026-03-20 18:20:31";NOTICE;"Post updated: 915"
"2026-03-20 18:23:28";NOTICE;"Post updated: 915"
"2026-03-20 18:23:30";NOTICE;"Post updated: 915"
"2026-03-20 18:25:39";NOTICE;"Post updated: 915"
"2026-03-20 18:25:40";NOTICE;"Post updated: 915"
"2026-03-20 18:25:45";NOTICE;"Post updated: 915"
"2026-03-20 18:25:46";NOTICE;"Post updated: 915"
"2026-03-20 18:28:40";NOTICE;"Post updated: 915"
"2026-03-20 18:28:41";NOTICE;"Post updated: 915"
"2026-03-20 18:30:08";NOTICE;"Post updated: 915"
"2026-03-20 18:30:10";NOTICE;"Post updated: 915"
